General_2016-11-08,Runoff_2016-05-24,Primary_2016-03-01,Runoff_2015-12-12,General_2014-11-04,Runoff_2014-08-05,Runoff_2014-05-27,Primary_2014-03-04,Runoff_2013-12-14,Runoff_2013-03-02,General_2012-11-06,Runoff_2012-07-31,Primary_2012-05-29,Runoff_2011-12-10,General_2010-11-02,Primary_2010-03-02,Residence_Families_HHCount,Residence_HHGender_Description,Residence_HHParties_Description,Voters_Gender,Voters_Age,EthnicGroups_EthnicGroup1Desc,Religions_Description,MaritalStatus_Description,EstimatedIncome,Education,ReligiousContributorInHome,PoliticalContributerInHome,DonatesEnvironmentCauseInHome,DonatesToCharityInHome,Donates to Local Community,State_Senate_District,Local_Municipal_Sum,Times_Voted,Parties_Description,GetOut,preference
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,1,Female Only Household,Republican,F,56,,Unknown,Unknown,">200,000",Graduate,0,0,Unknown,Unknown,Unknown,s15,0,11,Republican,Y,Y
Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Democratic,F,63,European,Protestant,Unknown,"50,000 - 100,000",Graduate,0,1,Unknown,Yes,Yes,s15,0,5,Democratic,N,Y
Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,1,Male Only Household,Independent,M,53,Hispanic and Portuguese,Unknown,Unknown,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,2,Non-Partisan,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,2,Male Only Household,Republican,M,69,European,Catholic,Unknown,"50,000 - 100,000",Some_College,1,1,Unknown,Yes,Unknown,s15,0,8,Republican,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,1,Female Only Household,Republican,F,65,European,Protestant,Unknown,"50,000 - 100,000",Some_College,1,1,Unknown,Yes,Yes,s15,0,8,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,1,Male Only Household,Republican,M,73,European,Protestant,Unknown,"50,000 - 100,000",Graduate,1,1,Unknown,Yes,Yes,s15,0,13,Republican,Y,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,1,Female Only Household,Democratic,F,67,European,Protestant,Unknown,"50,000 - 100,000",Graduate,1,1,Yes,Yes,Yes,s15,0,8,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,2,Male Only Household,Democratic,M,48,European,Protestant,Unknown,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,6,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Democratic & Republican,F,29,European,Protestant,Non-Traditional,"<50,000",Bachelors,0,0,Unknown,Unknown,Unknown,s15,0,1,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,2,Female Only Household,Democratic,F,61,Likely African-American,Protestant,Unknown,"<50,000",Bachelors,0,1,Unknown,Yes,Yes,s13,0,7,Democratic,N,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,2,Mixed Gender Household,Republican,M,76,European,Catholic,Married,"50,000 - 100,000",Some_College,1,1,Unknown,Yes,Yes,s17,0,9,Republican,Y,Y
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Democratic & Republican,M,40,European,Protestant,Non-Traditional,"<50,000",HighSchool,0,0,Unknown,Unknown,Unknown,s17,0,5,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Republican,M,76,Hispanic and Portuguese,Catholic,Married,"<50,000",Bachelors,1,1,Unknown,Yes,Yes,s17,0,12,Republican,Y,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,2,Female Only Household,Democratic,F,65,European,Protestant,Unknown,"<50,000",Some_College,0,0,Unknown,Yes,Unknown,s17,0,9,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Republican,F,50,European,Protestant,Married,"50,000 - 100,000",Graduate,0,1,Unknown,Yes,Unknown,s17,0,3,Republican,Y,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Democratic,M,35,East and South Asian,Other,Non-Traditional,"100,00 - 150,000",Bachelors,0,0,Unknown,Unknown,Unknown,s6,0,1,Democratic,Y,Y
Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,3,Mixed Gender Household,Democratic,F,47,Hispanic and Portuguese,Catholic,Married,"50,000 - 100,000",Some_College,0,0,Unknown,Unknown,Unknown,s6,0,8,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3,Mixed Gender Household,Democratic,M,63,Hispanic and Portuguese,Unknown,Married,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,2,Democratic,Y,Y
Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,3,Mixed Gender Household,Democratic & Republican,M,78,Hispanic and Portuguese,Catholic,Married,"50,000 - 100,000",Graduate,1,2+,Unknown,Yes,Yes,s17,0,4,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,N,1,Male Only Household,Republican,M,48,European,Protestant,Unknown,">200,000",Graduate,0,2+,Unknown,Yes,Unknown,s17,0,7,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,N,2,Mixed Gender Household,Democratic & Republican,F,70,Hispanic and Portuguese,Protestant,Married,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Yes,s17,0,7,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Republican,F,78,European,Protestant,Married,"<50,000",Some_College,0,1,Unknown,Yes,Unknown,s17,0,13,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,1,Female Only Household,Republican,F,74,European,Protestant,Unknown,"100,00 - 150,000",Bachelors,0,1,Unknown,Yes,Unknown,s17,0,10,Republican,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,4+,Mixed Gender Household,Democratic & Republican,F,57,,Unknown,Married,"100,00 - 150,000",Bachelors,0,0,Unknown,Unknown,Unknown,s17,0,3,Republican,Y,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,1,Female Only Household,Republican,F,74,European,Protestant,Unknown,"50,000 - 100,000",HighSchool,1,0,Yes,Yes,Unknown,s17,0,6,Republican,Y,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Democratic,F,61,Hispanic and Portuguese,Other,Unknown,"100,00 - 150,000",Graduate,0,1,Unknown,Yes,Unknown,s17,0,5,Democratic,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,2,Mixed Gender Household,Democratic,F,69,European,Protestant,Married,"100,00 - 150,000",Bachelors,0,0,Unknown,Unknown,Yes,s17,0,8,Democratic,N,Y
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,62,Other,Protestant,Married,"100,00 - 150,000",Graduate,0,1,Unknown,Yes,Unknown,s17,0,4,Democratic,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,2,Male Only Household,Democratic,M,64,European,Protestant,Unknown,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,9,Democratic,N,N
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,2,Male Only Household,Democratic,M,62,European,Protestant,Unknown,">200,000",Graduate,0,0,Unknown,Unknown,Unknown,s13,0,9,Democratic,Y,N
N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,N,Y,N,2,Mixed Gender Household,Republican,M,69,European,Protestant,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,6,Republican,N,Y
Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,2,Mixed Gender Household,Republican,M,61,European,Protestant,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,4,Republican,Y,Y
Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,3,Mixed Gender Household,Republican,M,55,,Jewish,Unknown,"50,000 - 100,000",Bachelors,0,0,Unknown,Unknown,Unknown,s17,0,8,Republican,Y,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Democratic,F,37,,Unknown,Unknown,"<50,000",Some_College,0,0,Unknown,Unknown,Unknown,s17,0,6,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,Male Only Household,Independent,M,46,Hispanic and Portuguese,Catholic,Unknown,">200,000",Bachelors,0,0,Unknown,Unknown,Unknown,s17,0,2,Non-Partisan,N,N
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,1,Female Only Household,Republican,F,47,European,Protestant,Unknown,"150,000 - 200,000",Graduate,0,1,Unknown,Yes,Yes,s17,0,6,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,3,Mixed Gender Household,Republican,M,34,,Unknown,Married,"100,00 - 150,000",HighSchool,0,0,Unknown,Unknown,Unknown,s17,0,6,Republican,N,N
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Democratic,M,79,,Jewish,Married,"<50,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,11,Democratic,N,N
Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,1,Male Only Household,Republican,M,27,European,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,3,Republican,N,Y
Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,1,Female Only Household,Independent,F,66,East and South Asian,Unknown,Unknown,Unknown,Unknown,0,0,Unknown,Unknown,Unknown,s13,0,3,Non-Partisan,Y,Y
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,44,European,Protestant,Non-Traditional,"100,00 - 150,000",Unknown,0,1,Unknown,Yes,Unknown,s13,0,4,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,1,Male Only Household,Democratic,M,40,European,Catholic,Unknown,"100,00 - 150,000",Bachelors,0,1,Yes,Yes,Yes,s13,0,7,Democratic,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,2,Mixed Gender Household,Democratic & Republican,M,48,European,Jewish,Non-Traditional,"50,000 - 100,000",Some_College,0,1,Unknown,Yes,Unknown,s13,0,8,Republican,Y,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,Y,Y,1,Female Only Household,Democratic,F,59,Likely African-American,Protestant,Unknown,"<50,000",Some_College,0,1,Unknown,Yes,Unknown,s13,0,10,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,3,Mixed Gender Household,Democratic,F,64,European,Protestant,Married,"50,000 - 100,000",Bachelors,0,1,Unknown,Unknown,Unknown,s13,0,6,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,3,Mixed Gender Household,Republican,M,54,European,Unknown,Married,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,10,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Republican,F,58,Hispanic and Portuguese,Catholic,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,6,Republican,N,N
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,2,Male Only Household,Democratic,M,76,Likely African-American,Unknown,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,8,Democratic,N,N
Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,54,Hispanic and Portuguese,Catholic,Non-Traditional,"50,000 - 100,000",Bachelors,0,1,Unknown,Yes,Unknown,s6,0,8,Democratic,N,Y
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Female Only Household,Democratic,F,57,European,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,3,Democratic,Y,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,3,Mixed Gender Household,Democratic & Republican,M,71,European,Protestant,Married,"50,000 - 100,000",Some_College,0,1,Unknown,Yes,Unknown,s6,0,7,Republican,N,N
Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,1,Male Only Household,Republican,M,76,European,Protestant,Unknown,"<50,000",Bachelors,0,0,Unknown,Unknown,Unknown,s6,0,8,Republican,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Male Only Household,Democratic,M,32,European,Protestant,Unknown,"<50,000",Graduate,0,0,Unknown,Unknown,Unknown,s6,0,6,Democratic,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,3,Mixed Gender Household,Democratic & Republican,F,48,Hispanic and Portuguese,Catholic,Married,"50,000 - 100,000",HighSchool,0,1,Unknown,Yes,Unknown,s6,0,5,Republican,N,Y
Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Democratic,M,33,European,Unknown,Married,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,6,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,1,Male Only Household,Democratic,M,59,European,Protestant,Unknown,"<50,000",Graduate,0,0,Unknown,Unknown,Unknown,s6,0,7,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Independent,M,42,European,Unknown,Married,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,1,Non-Partisan,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,Female Only Household,Democratic,F,50,European,Protestant,Unknown,"<50,000",HighSchool,0,0,Unknown,Unknown,Unknown,s15,0,1,Democratic,N,N
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic & Republican,M,37,Hispanic and Portuguese,Unknown,Married,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,3,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,1,Male Only Household,Republican,M,54,European,Protestant,Unknown,"50,000 - 100,000",Bachelors,0,0,Unknown,Unknown,Unknown,s15,0,13,Republican,Y,Y
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,2,Mixed Gender Household,Democratic,M,69,Hispanic and Portuguese,Catholic,Unknown,"<50,000",Graduate,0,0,Unknown,Yes,Unknown,s15,0,9,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,3,Mixed Gender Household,Democratic & Republican,F,54,Hispanic and Portuguese,Unknown,Unknown,"50,000 - 100,000",Some_College,0,0,Unknown,Unknown,Unknown,s15,0,13,Republican,N,N
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,4+,Mixed Gender Household,Democratic,M,69,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,5,Democratic,N,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,3,Mixed Gender Household,Democratic & Republican,F,52,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,11,Republican,Y,N
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Democratic,F,43,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,5,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,Mixed Gender Household,Democratic,F,33,Likely African-American,Unknown,Non-Traditional,"<50,000",Less_HighSchool,0,0,Unknown,Unknown,Unknown,s13,0,1,Democratic,Y,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,1,Female Only Household,Democratic,F,48,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Yes,s13,0,4,Democratic,Y,Y
Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Republican,F,46,European,Unknown,Unknown,"50,000 - 100,000",Bachelors,0,0,Unknown,Unknown,Unknown,s15,0,5,Republican,Y,N
Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,1,Male Only Household,Republican,M,27,,Jewish,Unknown,"100,00 - 150,000",Graduate,0,0,Unknown,Unknown,Unknown,s15,0,4,Republican,N,N
Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,2,Mixed Gender Household,Democratic,F,71,,Unknown,Married,"100,00 - 150,000",Bachelors,0,1,Yes,Yes,Yes,s15,0,10,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,Female Only Household,Democratic,F,28,,Unknown,Unknown,"<50,000",Graduate,0,0,Unknown,Unknown,Unknown,s15,0,2,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,2,Male Only Household,Democratic,M,54,Hispanic and Portuguese,Catholic,Unknown,"50,000 - 100,000",Some_College,0,0,Unknown,Yes,Unknown,s15,0,11,Democratic,Y,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,1,Female Only Household,Democratic,F,65,European,Protestant,Unknown,"150,000 - 200,000",Graduate,0,1,Unknown,Yes,Unknown,s15,0,11,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Democratic,F,43,East and South Asian,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,7,Democratic,Y,Y
Y,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,1,Female Only Household,Republican,F,24,European,Unknown,Unknown,"<50,000",HighSchool,0,0,Unknown,Unknown,Unknown,s15,0,5,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,1,Male Only Household,Republican,M,45,European,Protestant,Unknown,">200,000",Bachelors,0,0,Unknown,Unknown,Unknown,s15,0,5,Republican,N,Y
